No.story,No.inseries,Episode,The_Doctor,Directed_by,Written_by,Original_air_date,UK_viewers(millions),Appreciation _Index
157,1,Rose,Christopher Eccleston,Keith Boak,Russell T Davies,26/03/2005,10.81,76
158,2,The End of the World,Christopher Eccleston,Euros Lyn,Russell T Davies,02/04/2005,7.97,76
159,3,The Unquiet Dead,Christopher Eccleston,Euros Lyn,Mark Gatiss,09/04/2005,8.86,80
160a,4,Aliens of London,Christopher Eccleston,Keith Boak,Russell T Davies,16/04/2005,7.63,82
160b,5,World War Three,Christopher Eccleston,Keith Boak,Russell T Davies,23/04/2005,7.98,81
161,6,Dalek,Christopher Eccleston,Joe Ahearne,Robert Shearman,30/04/2005,8.63,84
162,7,The Long Game,Christopher Eccleston,Brian Grant,Russell T Davies,07/05/2005,8.01,81
163,8,Father's Day,Christopher Eccleston,Joe Ahearne,Paul Cornell,14/05/2005,8.06,83
164a,9,The Empty Child,Christopher Eccleston,James Hawes,Steven Moffat,21/05/2005,7.11,84
164b,10,The Doctor Dances,Christopher Eccleston,James Hawes,Steven Moffat,28/05/2005,6.86,85
165,11,Boom Town,Christopher Eccleston,Joe Ahearne,Russell T Davies,04/06/2005,7.68,82
166a,12,Bad Wolf,Christopher Eccleston,Joe Ahearne,Russell T Davies,11/06/2005,6.81,86
166b,13,The Parting of the Ways,Christopher Eccleston,Joe Ahearne,Russell T Davies,18/06/2005,6.91,89
167,Special,The Christmas Invasion,David Tennant,James Hawes,Russell T Davies,25/12/2005,9.84,84
168,1,New Earth,David Tennant,James Hawes,Russell T Davies,15/04/2006,8.62,85
169,2,Tooth and Claw,David Tennant,Euros Lyn,Russell T Davies,22/04/2006,9.24,83
170,3,School Reunion,David Tennant,James Hawes,Toby Whithouse,29/04/2006,8.31,85
171,4,The Girl in the Fireplace,David Tennant,Euros Lyn,Steven Moffat,06/05/2006,7.9,84
172a,5,Rise of the Cybermen,David Tennant,Graeme Harper,Tom MacRae,13/05/2006,9.22,86
172b,6,The Age of Steel,David Tennant,Graeme Harper,Tom MacRae,20/05/2006,7.63,86
173,7,The Idiot's Lantern,David Tennant,Euros Lyn,Mark Gatiss,27/05/2006,6.76,84
174a,8,The Impossible Planet,David Tennant,James Strong,Matt Jones,03/06/2006,6.32,85
174b,9,The Satan Pit,David Tennant,James Strong,Matt Jones,10/06/2006,6.08,86
175,10,Love & Monsters,David Tennant,Dan Zeff,Russell T Davies,17/06/2006,6.66,76
176,11,Fear Her,David Tennant,Euros Lyn,Matthew Graham,24/06/2006,7.14,83
177a,12,Army of Ghosts,David Tennant,Graeme Harper,Russell T Davies,01/07/2006,8.19,86
177b,13,Doomsday,David Tennant,Graeme Harper,Russell T Davies,08/07/2006,8.22,89
178,Special,The Runaway Bride,David Tennant,Euros Lyn,Russell T Davies,25/12/2006,9.35,84
179,1,Smith and Jones,David Tennant,Charles Palmer,Russell T Davies,31/03/2007,8.71,88
180,2,The Shakespeare Code,David Tennant,Charles Palmer,Gareth Roberts,07/04/2007,7.23,87
181,3,Gridlock,David Tennant,Richard Clark,Russell T Davies,14/04/2007,8.41,85
182a,4,Daleks in Manhattan,David Tennant,James Strong,Helen Raynor,21/04/2007,6.69,86
182b,5,Evolution of the Daleks,David Tennant,James Strong,Helen Raynor,28/04/2007,6.97,85
183,6,The Lazarus Experiment,David Tennant,Richard Clark,Stephen Greenhorn,05/05/2007,7.19,86
184,7,42,David Tennant,Graeme Harper,Chris Chibnall,19/05/2007,7.41,85
185a,8,Human Nature,David Tennant,Charles Palmer,Paul Cornell,26/05/2007,7.74,86
185b,9,The Family of Blood,David Tennant,Charles Palmer,Paul Cornell,02/06/2007,7.21,86
186,10,Blink,David Tennant,Hettie MacDonald,Steven Moffat,09/06/2007,6.62,87
187a,11,Utopia,David Tennant,Graeme Harper,Russell T Davies,16/06/2007,7.84,87
187b,12,The Sound of Drums,David Tennant,Colin Teague,Russell T Davies,23/06/2007,7.51,87
187c,13,Last of the Time Lords,David Tennant,Colin Teague,Russell T Davies,30/06/2007,8.61,88
188,Special,Voyage of the Damned,David Tennant,James Strong,Russell T Davies,25/12/2007,13.31,86
189,1,Partners in Crime,David Tennant,James Strong,Russell T Davies,05/04/2008,9.14,88
190,2,The Fires of Pompeii,David Tennant,Colin Teague,James Moran,12/04/2008,9.04,87
191,3,Planet of the Ood,David Tennant,Graeme Harper,Keith Temple,19/04/2008,7.5,87
192a,4,The Sontaran Stratagem,David Tennant,Douglas Mackinnon,Helen Raynor,26/04/2008,7.06,87
192b,5,The Poison Sky,David Tennant,Douglas Mackinnon,Helen Raynor,03/05/2008,6.53,88
193,6,The Doctor's Daughter,David Tennant,Alice Troughton,Stephen Greenhorn,10/05/2008,7.33,88
194,7,The Unicorn and the Wasp,David Tennant,Graeme Harper,Gareth Roberts,17/05/2008,8.41,86
195a,8,Silence in the Library,David Tennant,Euros Lyn,Steven Moffat,31/05/2008,6.27,89
195b,9,Forest of the Dead,David Tennant,Euros Lyn,Steven Moffat,07/06/2008,7.84,89
196,10,Midnight,David Tennant,Alice Troughton,Russell T Davies,14/06/2008,8.05,86
197,11,Turn Left,David Tennant,Graeme Harper,Russell T Davies,21/06/2008,8.09,88
198a,12,The Stolen Earth,David Tennant,Graeme Harper,Russell T Davies,28/06/2008,8.78,91
198b,13,Journey's End,David Tennant,Graeme Harper,Russell T Davies,05/07/2008,10.57,91
199,1,The Next Doctor,David Tennant,Andy Goddard,Russell T Davies,25/12/2008,13.1,86
200,2,Planet of the Dead,David Tennant,James Strong,Russell T Davies & Gareth Roberts,11/04/2009,9.75,88
